TEM CCODE;BARCODE;ITEM DESCRIPTION;SUB CATEGORY;MAIN CATEGORY;ITEM CATEGORY;UNIT OF MEASURE;OFFICE
PAC -F3D-EAC;;F3 Double Wall Pie box;packaging;packaging;Internal;ea;
PAC- HAB-EAC;;Hamburger Base Black F60;packaging;packaging;Internal;ea;
PAC- LIC- 350ML;;Lids Clear 350ML;packaging;packaging;Internal;ea;
PAC- MIN-EAC;;Cup Cake Boxes With Inserts;packaging;packaging;Internal;ea;
PAC- SDL-EAC;;Square Desert Lid;packaging;packaging;Internal;ea;
PAC-083-EAC;;83X54X300 30mic;packaging;packaging;Internal;ea;
PAC-12X-EAC;30254;12x12x6;packaging;packaging;Internal;ea;pos
PAC-14X-EAC;30255;14X14X6;packaging;packaging;Internal;ea;pos
PAC-16X-EAC;30256;16x16x6;packaging;packaging;Internal;ea;pos
PAC-18H-EAC;30257;18X18X5 High;packaging;packaging;Internal;ea;
PAC-18X-EAC;30258;18X18X6;packaging;packaging;Internal;ea;pos
PAC-196-EAC;30267;196T swissroll folder;packaging;packaging;Internal;ea;
PAC-200-EAC;30291;Foil Container 100 (200IL);packaging;packaging;Internal;ea;
PAC-20H-EAC;30266;20X20X5 High;packaging;packaging;Internal;ea;
PAC-20X-EAC;30259;20X20X6;packaging;packaging;Internal;ea;pos
PAC-214-EAC;;214 Gateaux Dome;packaging;packaging;Internal;ea;
PAC-215-EAC;30706;215 Gateaux Base;packaging;packaging;Internal;ea;
PAC-225-EAC;30804;225X270X30MIC Scone bag medium;packaging;packaging;Internal;ea;
PAC-260-EAC;30806;260*450*25mic;packaging;packaging;Internal;ea;
PAC-300-EAC;30292;Foil Container 100 (3001P);packaging;packaging;Internal;ea;
PAC-310-EAC;30808;310*450*30mic;packaging;packaging;Internal;ea;
PAC-315-EAC;30268;315 bar one dome;packaging;packaging;Internal;ea;
PAC-317-EAC;30269;317 bar one base;packaging;packaging;Internal;ea;
PAC-400-EAC;30807;250*400*40mic Rolls large;packaging;packaging;Internal;ea;
PAC-405-EAC;30287;4051 foil container;packaging;packaging;Internal;ea;
PAC-419-EAC;30692;4191 Foil Container;packaging;packaging;Internal;ea;
PAC-450-EAC;30805;250*450*30mic Naan exlarge;packaging;packaging;Internal;ea;
PAC-552-EAC;30801;5*5*2.5;packaging;packaging;Internal;ea;pos
PAC-572-EAC;30737;5*5*2.5;packaging;packaging;Internal;ea;pos
PAC-573-EAC;30827;5*7*3;packaging;packaging;Internal;ea;pos
PAC-73D-EAC;30725;No 73D Foam Tray;packaging;packaging;Internal;ea;
PAC-773-EAC;30800;7*7*3 Diwali Boxes;packaging;packaging;Internal;ea;
PAC-835-EAC;30303;Bag 1000 83*54*300mm;packaging;packaging;Internal;ea;pos
PAC-882-EAC;;8X8X2;packaging;packaging;Internal;ea;
SWE-SSF-EAC;6009625510721;Sweet & Sour Figs;sweet;sweets;external;ea;pos
PAC-884-EAC;30486;8X8X4;packaging;packaging;Internal;ea;pos
PAC-A34-EAC;30587;A34 Round Cake Dome;packaging;packaging;Internal;ea;
PAC-A35-EAC;30588;A35 Round Cake Base;packaging;packaging;Internal;ea;
PAC-B75-EAC;;K75 Base;packaging;packaging;Internal;ea;
PAC-BAG-EAC;6009681740704;Bags 1000 White Midi;packaging;packaging;Internal;ea;pos
PAC-BAG-JUM;6009681740705;Bags 1000 White Jumbo;packaging;packaging;Internal;ea;pos
PAC-BBC-EAC;;Bon Bon Biscuit Container;packaging;packaging;Internal;ea;
PAC-BBL-EAC;;Bon Bon Biscuit Lid;packaging;packaging;Internal;ea;
PAC-BEB-EAC;;Empty Bandini Box;packaging;packaging;Internal;ea;
PAC-BOR-EAC;30308;Bag on Roll (30x45);packaging;packaging;Internal;ea;
PAC-BPB-EAC;;Bag Brown Thrifty Paper Bag meduim;packaging;packaging;Internal;ea;
PAC-BRE-EAC;30533;Packaging New 76x91 Black Refuse;packaging;packaging;Internal;ea;
PAC-BUB-EAC;30311;bubble wrap;packaging;packaging;Internal;ea;
PAC-CHO-EAC;30249;Oven Delight Cake Box Choc;packaging;packaging;Internal;ea;
PAC-CLE-EAC;30313;CLEAR BIN BAGS;packaging;packaging;Internal;ea;
PAC-CON-EAC;;7119P Foil container;packaging;packaging;Internal;ea;
PAC-CUC-500ML;;Cup Clear 500ML;packaging;packaging;Internal;ea;
PAC-D75-EAC;;K75 Dome;packaging;packaging;Internal;ea;
PAC-DCW-EAC;;High Window Box For Drip cake;packaging;packaging;Internal;ea;
PAC-EPI-EAC;;Faze 3 Boxes Empty for Pies;packaging;packaging;Internal;ea;
SWE-TOA-EAC;1033;Toasted Jabs;sweet;sweets;external;ea;pos
PAC-F5B-EAC;;F50 High Cake Base;packaging;packaging;Internal;ea;
PAC-F5D-EAC;;F50 High Cake Dome;packaging;packaging;Internal;ea;
PAC-FLP-EAC;;Foil - Loaf Pan 4161P;packaging;packaging;Internal;ea;
CBW-CAK-003;10102;BD Buttercream 3 Tier Stacked;Wedding Cakes;Wedding Cakes;internal;ea;pos
CBW-CKE-003;10098;BD Wedding Cake BC 10 12 14 Loose;Wedding Cakes;Wedding Cakes;internal;ea;pos
PAC-FOI-EAC;30290;Foil Buns 4051D;packaging;packaging;Internal;ea;
PAC-GP2-EAC;30300;Bag GP 2;packaging;packaging;Internal;ea;
PAC-HAM-EAC;;Hamburger Dome F60;packaging;packaging;Internal;ea;
PAC-JBU-EAC;;Jumbo bag unprinted;packaging;packaging;Internal;ea;
CBW-STA-EAC;10289;BD Buttercream 2Tier Stacked 12 16;Wedding Cakes;Wedding Cakes;internal;ea;pos
PAC-JUM-EAC;30567;Jumbo Econo White;packaging;packaging;Internal;ea;
CFW-CAF-002;10100;BD WC Fruit 2 Layer;Wedding Cakes;Wedding Cakes;internal;ea;pos
PAC-K96-EAC;30280;K 96 milk tart domes;packaging;packaging;Internal;ea;
PAC-LCB-EAC;;Laser Cut Box Only;packaging;packaging;Internal;ea;
PAC-LEV-EACH;;EPR LEVY;packaging;packaging;Internal;ea;
PAC-LIC-500ML;;Lid Clear 500ML;packaging;packaging;Internal;ea;
PAC-LID-EAC;;7119P Clear lids;packaging;packaging;Internal;ea;
PAC-LLB-EAC;;Large Log Base;packaging;packaging;Internal;ea;
PAC-LLD-EAC;;Large Log Dome;packaging;packaging;Internal;ea;
PAC-MAD-EAC;;Madeira Packaging Small B;packaging;packaging;Internal;ea;
PAC-MCC-350ML;;Milkshake Cup 350ml;packaging;packaging;Internal;ea;
PAC-MCL-350ML;;Milkshake Cup Lids 350ml;packaging;packaging;Internal;ea;
PAC-MFO-EAC;30282;Mince pie foil;packaging;packaging;Internal;ea;
CFW-CAF-003;10101;BD WC Fruit 3 Layer;Wedding Cakes;Wedding Cakes;internal;ea;pos
PAC-MIN-EAC;30293;Foil Container Mince Pie Tray;packaging;packaging;Internal;ea;
PAC-MLA-EAC;;Mini Lamington trays;packaging;packaging;Internal;ea;
PAC-NDI-EAC;;New Diwali Cake Boxes;packaging;packaging;Internal;ea;
PAC-P45-EAC;;P45 Round platter;packaging;packaging;Internal;ea;
PAC-PBH-EAC;;Platter base - half;packaging;packaging;Internal;ea;
CFW-CAF-003;10101;BD WC Fruit 3 Layer;Wedding Cakes;Wedding Cakes;internal;ea;pos
PAC-PFB-EAC;;Platter base;packaging;packaging;Internal;ea;pos
PAC-PLD-EAC;;Platter Dome;packaging;packaging;Internal;ea;pos
PAC-PLH-EAC;;Platter Lid -Half;packaging;packaging;Internal;ea;
PAC-PRD-EAC;;P45 platter dome;packaging;packaging;Internal;ea;
PAC-PTC-EAC;;Paper Tulip Cups giant cup cakes;packaging;packaging;Internal;ea;
PAC-REC-EAC;;Rectangle Pie Foil;packaging;packaging;Internal;ea;
PAC-REF-EAC;30492;Packaging Black Refuse;packaging;packaging;Internal;ea;
PAC-SDT-EAC;;Square Desert Tub;packaging;packaging;Internal;ea;
PAC-SLI-70ML;;Sauce Lids 70ml;packaging;packaging;Internal;ea;
PAC-SO6-EAC;30299;Bag Brown BB3;packaging;packaging;Internal;ea;
PAC-STR-EAC;30250;Oven Delight Cake Box Strbery;packaging;packaging;Internal;ea;
PAC-STU-70ML;;Sauce Tub 70ml;packaging;packaging;Internal;ea;
PAC-SWI-EAC;30826;Swissroll Box;packaging;packaging;Internal;ea;
PAC-VUT-EAC;30309;Bread Bags (Vutu) PPG;packaging;packaging;Internal;ea;
PAC-WIN-EAC;;Windsor X-Small B;packaging;packaging;Internal;ea;
PAC-ZIP-EACH;;Ziplock Bags;packaging;packaging;Internal;ea;
XFL-BRF-125;30215;Flour Brown;packaging;packaging;Internal;kg;
YCC-14C-EAC;30288;Case No 14 Cake;packaging;packaging;Internal;ea;
YCC-24E-EAC;30485;Madeira case 24e;packaging;packaging;Internal;ea;
YCC-CUP-EAC;30803;Red Cupcakes Cup;packaging;packaging;Internal;ea;
YCL-BAG-EAC;30048;Bag Black Refuse HD;packaging;packaging;Internal;ea;
YCL-EMP-EAC;30052;Empty Boxes;packaging;packaging;Internal;ea;
YST-DPL-EAC;;Diwali Cake Box Plates;packaging;packaging;Internal;ea;
YST-WGE-EAC;30733;Wage Envelope;packaging;packaging;Internal;ea;
ZBX-16B-EAC;30246;16 box;packaging;packaging;Internal;ea;
ZBX-883-EAC;30739;8*8*3;packaging;packaging;Internal;ea;
ZBX-884-EAC;30738;8*8*4;packaging;packaging;Internal;ea;
ZBX-MUFF-EACH;;Muffin Box Rose Design;packaging;packaging;Internal;ea;
ZDB-351-EAC;;L 351 Domes;packaging;packaging;Internal;ea;
ZDB-38B-EAC;;38F Black Tray;packaging;packaging;Internal;ea;
ZDB-38C-EAC;;38F Lid;packaging;packaging;Internal;ea;
ZDB-38F-EAC;;38F Black Tray;packaging;packaging;Internal;ea;
ZDB-S31-EAC;30281;Lids 300 Biscuit S312;packaging;packaging;Internal;ea;
ZDB-SDL-EAC;;Square Desert Lid;packaging;packaging;Internal;ea;
ZDO-DOY-EAC;30320;Doyley Round 240mm;packaging;packaging;Internal;ea;
ZFO-10-EAC;30501;KR 10;packaging;packaging;Internal;ea;
ZFO-14-EAC;30321;KR14;packaging;packaging;Internal;ea;
ZFO-16-EAC;30322;KR16;packaging;packaging;Internal;ea;
ZFO-18-EAC;30323;KR18;packaging;packaging;Internal;ea;
ZFO-1M5-EAC;;KS 1MX500;packaging;packaging;Internal;ea;
ZFO-20-EAC;30324;KR20;packaging;packaging;Internal;ea;
ZFO-20R-EAC;30742;20 Round Board;packaging;packaging;Internal;ea;
ZFO-500-EAC;30251;BOX 1M*500MM*6;packaging;packaging;Internal;ea;
ZFO-NR1-EAC;30584;NR 10;packaging;packaging;Internal;ea;
ZFO-NR2-EAC;30585;NR 12;packaging;packaging;Internal;ea;
ZFO-NS1-EAC;30329;NS 10;packaging;packaging;Internal;ea;
ZFO-NS2-EAC;30330;NS12;packaging;packaging;Internal;ea;pos
ZFO-S16-EAC;30325;KS16;packaging;packaging;Internal;ea;pos
ZFO-S18-EAC;30326;KS18;packaging;packaging;Internal;ea;pos
ZFO-S20-EAC;30328;KS20;packaging;packaging;Internal;ea;pos
CFW-CKE-003;10099;BD Wedding Cake FC 10 12 14 Loose;Wedding Cakes;Wedding Cakes;internal;ea;pos
ZFO-T14-EAC;30331;NS14;packaging;packaging;Internal;ea;
ZFO-TN6-EAC;30617;NR 6;packaging;packaging;Internal;ea;
ZFO-TN8-EAC;30332;NS8;packaging;packaging;Internal;ea;
ZLA- REA-EAC;;Label Real Butter;packaging;packaging;Internal;ea;
ZLA-ALA-50MM;;Oven Delights logo labels 50mmx40mm;packaging;packaging;Internal;ea;
ZLA-LAB-EAC;30333;Label 40x46 B/white Label;packaging;packaging;Internal;ea;
ZLA-LKI-EACH;;Label White Keep In Fridge;packaging;packaging;Internal;ea;
ZLA-LPL-EAC;;Label For Platter Domes;packaging;packaging;Internal;ea;
ZLA-OLA-EAC;;Label Oven Delights Logo 50x50mm;packaging;packaging;Internal;ea;
ZLA-PLA-EAC;;Label Plates logo 50x50mm;packaging;packaging;Internal;ea;
ZLA-PLL-EAC;;Label for Platters Assorted Flavours;packaging;packaging;Internal;ea;
ZLA-WLB-EACH;;Label 40x29 White Label;packaging;packaging;Internal;ea;
ZPA-CDA-EAC;;4 Cup Drinkaway Carrier P2106;packaging;packaging;Internal;ea;
ZPA-CDC-EAC;;2 Cup Drinkaway Carrier P2105;packaging;packaging;Internal;ea;
ZPA-DWK-250ML;;250ml Double Wall Kraft Cup;packaging;packaging;Internal;ea;
ZPA-DWK-350ML;;350ml Double Wall Kraft Cup;packaging;packaging;Internal;ea;
ZPA-GRE-EAC;30302;Grease Proof 2(200*170);packaging;packaging;Internal;ea;
ZPA-RSL-250ML;;250ml Ripple Sip Lid;packaging;packaging;Internal;ea;
ZPA-RSL-350ML;;350ml Ripple Sip Lid;packaging;packaging;Internal;ea;
ZPA-WHP-100ML;;100ml White Hot Paper Cup;packaging;packaging;Internal;ea;
ZPL-70M-EAC;30284;Plastic Lids Clear 70mm;packaging;packaging;Internal;ea;
ZPL-F70-EAC;30279;F70 BISCUIT CONTAINER;packaging;packaging;Internal;ea;
CLE-MPP-EAC;;Monthly Pest Control;pest control;pest control;external;ea;
ZDB- FIC-EAC;;Genus Eco 30 Flying Insect Catcher;pest control;pest control;external;ea;
YBA-BOO-MX1;30446;Sub Batter - Bar One Sponge Round;sub recipe;sub recipe;Internal;kg;
YBA-BSC-MXI;;Sub Batter- Butter Scones;sub recipe;sub recipe;Internal;kg;
YBA-CAC-MX1;30432;Sub Batter Carrot Cake;sub recipe;sub recipe;Internal;kg;
YBA-CCC-MX1;30859;Sub Batter-Carrot Cake with Cream Cheese Slab;sub recipe;sub recipe;Internal;kg;
YBA-CGS-MX1;30442;Sub Batter- Chocolate Gateaux Sponge;sub recipe;sub recipe;Internal;kg;
YBA-CHC-MX1;30434;Sub Batter-Chocolate Brownie;sub recipe;sub recipe;Internal;kg;
YBA-CHO-MX1;30352;Sub Sponge Batter -Chocolate;sub recipe;sub recipe;Internal;kg;
YBA-CHS-MX1;30441;Sub Batter-Chocolate Sponge Sheet;sub recipe;sub recipe;Internal;kg;
YBA-CSP-MX1;30447;Sub Batter- Choc Swissroll Sponge;sub recipe;sub recipe;Internal;kg;
YBA-CSS-MX1;30864;Sub Batter - choc sheet scratch mix;sub recipe;sub recipe;Internal;kg;
YBA-DEG-MX1;;Sub Batter Eggless Diwali Cake;sub recipe;sub recipe;Internal;kg;
YBA-DIS-MX1;30622;Sub Batter Diwali Sponge;sub recipe;sub recipe;Internal;kg;
YBA-DIV-MX1;30537;Sub Sponge Batter Diwali;sub recipe;sub recipe;Internal;kg;
YBA-EFS-MX1;30443;Sub Batter -Eggfree Sponge sheet;sub recipe;sub recipe;Internal;kg;
YBA-EGS-MX1;30623;Sub Batter Eggless Gateaux Sponge;sub recipe;sub recipe;Internal;kg;
YBA-ESN-MX1;30768;Sub Batter Snowball Eggles;sub recipe;sub recipe;Internal;kg;
YBA-FRS-MX1;30438;Sub Batter- Fruit Scones;sub recipe;sub recipe;Internal;kg;
YBA-HCB-MX1;30351;Sub Dough- Hot Cross Buns;sub recipe;sub recipe;Internal;kg;
YBA-HCC-MX1;30659;Sub Batter Cross for Hot Cross Buns;sub recipe;sub recipe;Internal;kg;
YBA-MAD-MX1;30435;Sub Batter - Madeira Slab;sub recipe;sub recipe;Internal;kg;
YBA-MCC-MX1;;Sub Sponge Batter- Moist Choc Sponge C/C;sub recipe;sub recipe;Internal;kg;
YBA-QUC-MX1;30436;Sub Batter -Queen Cake;sub recipe;sub recipe;Internal;kg;
YBA-RBS-MX1;30618;Sub Batter Rainbow Sponge;sub recipe;sub recipe;Internal;kg;
YBA-RCS-MX1;30656;Sub Batter Rich Choc Sponge;sub recipe;sub recipe;Internal;kg;
YBA-ROT-MX1;;Sub Dough Roti 12s;sub recipe;sub recipe;Internal;kg;
YBA-SCO-MX1;30437;Sub Batter - Scones;sub recipe;sub recipe;Internal;kg;
YBA-SMC-MX1;;Sub Sponge Batter - Moist Choc Sponge Fererro;sub recipe;sub recipe;Internal;kg;
YBA-SNB-MX1;30439;Sub Batter -Snowball;sub recipe;sub recipe;Internal;kg;
YBA-SPO-MX1;30444;Sub Batter - Strawberry Sponge;sub recipe;sub recipe;Internal;kg;
YBA-VAN-MX1;30353;Sub Sponge Batter - Vanilla Gateaux;sub recipe;sub recipe;Internal;kg;
YBA-VNS-MX1;30445;Sub Batter Vanilla Sheets Coastal;sub recipe;sub recipe;Internal;kg;
YBA-VSR-MX1;30448;Sub Batter- Vanilla Swissroll Sponge;sub recipe;sub recipe;Internal;kg;
YBA-WNS-MX1;30440;Sub Batter- Windsor Slab;sub recipe;sub recipe;Internal;kg;
YBU-CRE-MX6;30347;Sub Buns-Cream 6s;sub recipe;sub recipe;Internal;kg;
YCC-CRC-MX1;;Sub Cream Cheese;sub recipe;sub recipe;Internal;kg;
YCK-BAN-MX1;30748;Sub-Banana Cake;sub recipe;sub recipe;Internal;kg;
YCK-FRC-MX1;30529;Sub Batter Christmas Windsor Plain;sub recipe;sub recipe;Internal;kg;
YDO-BIS-MX1;30463;Sub Dough-Biscuit;sub recipe;sub recipe;Internal;kg;
YDO-BRB-MX1;30413;Sub Dough Brown Bread;sub recipe;sub recipe;Internal;kg;
YDO-BUN-MX1;;Sub Dough - Buns;sub recipe;sub recipe;Internal;kg;
YDO-CRO-MX1;;Sub dough Croissants;sub recipe;sub recipe;Internal;kg;
YDO-CUC-MX1;30794;Sub Dough - Butter Biscuits;sub recipe;sub recipe;Internal;kg;
YDO-DAN-MX1;30451;Sub Dough -Danish;sub recipe;sub recipe;Internal;kg;
YDO-DOU-MX1;30453;Sub Dough-Doughnut;sub recipe;sub recipe;Internal;kg;
YDO-M3M-MX1;30464;Sub Dough Melting Moment Round 60g;sub recipe;sub recipe;Internal;kg;
MIL-MFC-500;6001299025440;Milk 500ml Full Cream;Ingredients;ingredients;Internal;ea;
YDO-MML-MX1;;Sub Dough Melting Moments Long 95g;sub recipe;sub recipe;Internal;kg;
YDO-NAA-MX1;30449;Sub Dough - Naan;sub recipe;sub recipe;Internal;kg;
YDO-ROL-MX1;30450;Sub Dough - Rolls;sub recipe;sub recipe;Internal;kg;
YDP-CHD-MX1;30401;Sub Lamington -Dip Chocolate;sub recipe;sub recipe;Internal;kg;
YDP-LAM-MX3;30402;Sub Raspberry Lamington - Dip;sub recipe;sub recipe;Internal;kg;
YDP-SNO-MX1;30403;Sub Snowball Dip;sub recipe;sub recipe;Internal;kg;
YEG-SNO-MX1;30767;Sub Snowball Eggless;sub recipe;sub recipe;Internal;kg;
YFC-FRC-MX1;30366;Sub Fresh Cream;sub recipe;sub recipe;Internal;kg;
YFI-BOG-MX1;30391;Sub Chocolate Ganache;sub recipe;sub recipe;Internal;kg;
YFI-BOM-MX1;30409;Sub Choc Mousse Bar One;sub recipe;sub recipe;Internal;kg;
YFI-CCC-KGR;;Sub Choc Cream Cheese;sub recipe;sub recipe;Internal;kg;
YFI-CUS-MX1;30406;Sub Custard Filing;sub recipe;sub recipe;Internal;kg;
YFI-FEM-MX1;;sub choc mousse ferrero;sub recipe;sub recipe;Internal;kg;
YFI-MIL-MX1;30408;Sub Milk Tart Filling;sub recipe;sub recipe;Internal;kg;
YFI-MOU-MX1;;Sub Mousse Mix;sub recipe;sub recipe;Internal;kg;
YFI-SQF-MX1;30405;Sub Currant Square Filling;sub recipe;sub recipe;Internal;kg;
YFI-STJ-MX1;30410;Sub Strawberry Jam Filling;sub recipe;sub recipe;Internal;kg;
YFI-TIR-MX1;30411;Sub Tiramisu;sub recipe;sub recipe;Internal;kg;
YPA-ECL-MX1;30457;Sub Batter Eclairs;sub recipe;sub recipe;Internal;kg;
YPA-PUF-MX1;30459;Sub Pastry-Puff;sub recipe;sub recipe;Internal;kg;
YPA-SWE-MX1;30461;Sub Sweet Paste;sub recipe;sub recipe;Internal;kg;
YPI-PIC-MX1;30646;Sub Picture;sub recipe;sub recipe;Internal;kg;
YRO-COR-M12;30649;Sub Cocktail Rolls 12s;sub recipe;sub recipe;Internal;kg;
YSP-BSC-MX1;;Sub- Pie Bottom Short Crust Pastry;sub recipe;sub recipe;Internal;kg;
YSP-SCM-MX1;;Sub- Chicken & Mushroom Pie Filling;sub recipe;sub recipe;Internal;kg;
YSP-SHE-MX1;30389;Sub Bar One Sponge - Sheets;sub recipe;sub recipe;Internal;kg;
YSP-SMC-MX1;;Sub- Mutton Curry Pie Filling;sub recipe;sub recipe;Internal;kg;
YSP-SVP-MX1;;Sub- Veg Curry Pie Filling;sub recipe;sub recipe;Internal;kg;
YSP-TRI-MX1;30355;Sub -Sponge Trifle;sub recipe;sub recipe;Internal;kg;
YTB-MIL-MX1;30510;Sub Milk Tart Base Large;sub recipe;sub recipe;Internal;kg;
YTB-MIS-MX1;30512;Sub Milk Tart Base Small;sub recipe;sub recipe;Internal;kg;
YTB-NOB-EAC;;Sub No Bake Cake;sub recipe;sub recipe;Internal;kg;
YTO-BEL-MX1;30418;Sub Belgica Tart Topping;sub recipe;sub recipe;Internal;kg;
YTO-BLC-MX1;30508;Sub Belgica Crumbs;sub recipe;sub recipe;Internal;kg;
YTO-BOF-KGR;;Sub Bar One Filling;sub recipe;sub recipe;Internal;kg;
YTO-BOG-KGR;;Sub- Bar One Ganache;sub recipe;sub recipe;Internal;kg;
YTO-BUC-MX1;30398;Sub Buttercream Chocolate;sub recipe;sub recipe;Internal;kg;
YTO-BUW-MX1;30357;Sub Buttercream- White;sub recipe;sub recipe;Internal;kg;
YTO-BUY-MX1;30400;Sub Buttercream Yellow;sub recipe;sub recipe;Internal;kg;
YTO-FOC-MX1;30412;Sub Fondant Chocolate;sub recipe;sub recipe;Internal;kg;
YTO-NAA-MX1;30375;Sub Naan topping;sub recipe;sub recipe;Internal;kg;
YTO-SNO-MX1;30419;Sub Snowball Coconut Topping;sub recipe;sub recipe;Internal;kg;
YTO-SUS-MX1;30417;Sub Sugar Syrup;sub recipe;sub recipe;Internal;kg;
YTO-SUW-MX1;30416;Sub Glaze Sugar Water;sub recipe;sub recipe;Internal;kg;
YTO-WFI-MX1;30539;Sub - White Fondant Icing;sub recipe;sub recipe;Internal;kg;
;;;;packaging;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
